articleID,url,title,createTime,positive_total,negative_total,total,positive_percent,negative_percent
72,https://www.mobile01.com/topicdetail.php?f=454&t=6273415,想了解南港”德杰明森”建案的相關訊息,2021-01-01 12:40,7,4,11,0.6363636363636364,0.36363636363636365
73,https://www.mobile01.com/topicdetail.php?f=454&t=6254319,整天吵不停的廟會活動,2020-12-07 07:31,107,207,314,0.34076433121019106,0.6592356687898089
74,https://www.mobile01.com/topicdetail.php?f=454&t=6221857,良茂的劍潭新建案 良茂詠悅/川騰仰士林,2020-10-26 22:52,13,25,38,0.34210526315789475,0.6578947368421053
75,https://www.mobile01.com/topicdetail.php?f=454&t=6276374,2房一廳一衛~根本是垃圾,2021-01-06 01:18,38,79,117,0.3247863247863248,0.6752136752136753
76,https://www.mobile01.com/topicdetail.php?f=454&t=6133176,請問北投大業路大興街口的都更案？,2020-07-03 18:54,12,17,29,0.41379310344827586,0.5862068965517241
77,https://www.mobile01.com/topicdetail.php?f=454&t=6069387,麟光站附近的大安齊麟發生了甚麼事?,2020-04-15 00:47,0,3,3,0.0,1.0
78,https://www.mobile01.com/topicdetail.php?f=454&t=6262013,石牌附近換屋請益,2020-12-16 18:32,6,9,15,0.4,0.6
79,https://www.mobile01.com/topicdetail.php?f=454&t=6206068,文林路-德悅悅,2020-10-04 23:18,2,11,13,0.15384615384615385,0.8461538461538461
80,https://www.mobile01.com/topicdetail.php?f=454&t=6216110,請問有人看過大陸建設中山北路的新建案嗎？,2020-10-19 07:52,11,9,20,0.55,0.45
81,https://www.mobile01.com/topicdetail.php?f=454&t=6276369,車位問題~怎麼這麼多,2021-01-06 01:05,9,19,28,0.32142857142857145,0.6785714285714286
82,https://www.mobile01.com/topicdetail.php?f=454&t=6275747,社會住宅4萬租不起，想買房市場行情卻又看得霧煞煞，大家都怎麼做？,2021-01-05 11:07,5,8,13,0.38461538461538464,0.6153846153846154
83,https://www.mobile01.com/topicdetail.php?f=454&t=6275882,（5分）臺北市文山區有推薦的不錯的室內油漆師傅嗎？,2021-01-05 13:37,1,0,1,1.0,0.0
84,https://www.mobile01.com/topicdetail.php?f=454&t=6176790,台北內湖 有人看過此建案嗎?,2020-08-28 11:52,7,9,16,0.4375,0.5625
85,https://www.mobile01.com/topicdetail.php?f=454&t=6274765,版上有人去看松山火車站 預售屋嗎？,2021-01-04 03:44,1,0,1,1.0,0.0
86,https://www.mobile01.com/topicdetail.php?f=454&t=6272562,自用住宅稅率問題,2020-12-30 21:21,2,2,4,0.5,0.5
87,https://www.mobile01.com/topicdetail.php?f=454&t=6242174,[請益] 台北市現在是不是不能蓋夾層屋大樓?,2020-11-21 20:31,2,6,8,0.25,0.75
88,https://www.mobile01.com/topicdetail.php?f=454&t=1216015,"學區,會影響你的購買動機或意願嗎?",2009-09-03 13:36,67,86,153,0.43790849673202614,0.5620915032679739
89,https://www.mobile01.com/topicdetail.php?f=454&t=6258092,預售vs成屋,2020-12-11 14:58,6,3,9,0.6666666666666666,0.3333333333333333
90,https://www.mobile01.com/topicdetail.php?f=454&t=6272271,買蛋黃區老公寓的必讀精華,2020-12-30 14:11,1,0,1,1.0,0.0
91,https://www.mobile01.com/topicdetail.php?f=454&t=4839954,景美天際skyline建案,2016-06-23 22:59,16,27,43,0.37209302325581395,0.627906976744186
92,https://www.mobile01.com/topicdetail.php?f=454&t=5973259,危老專案若自建（全案委託？）可行嗎？基地小...外加沒使照,2019-12-11 05:29,4,4,8,0.5,0.5
93,https://www.mobile01.com/topicdetail.php?f=454&t=6240559,三峽特區空氣品質狀況？,2020-11-19 16:53,1,2,3,0.3333333333333333,0.6666666666666666
94,https://www.mobile01.com/topicdetail.php?f=454&t=5047993,[請教]麟光新案-耕云,2017-01-21 21:27,14,31,45,0.3111111111111111,0.6888888888888889
95,https://www.mobile01.com/topicdetail.php?f=454&t=6250306,最新消息:北北桃生活圈109年11月房市交易量，創下近年新高的居然是”他”~???,2020-12-01 20:05,2,1,3,0.6666666666666666,0.3333333333333333
96,https://www.mobile01.com/topicdetail.php?f=454&t=6268368,租車位合約,2020-12-25 06:56,1,10,11,0.09090909090909091,0.9090909090909091
97,https://www.mobile01.com/topicdetail.php?f=454&t=6131962,頂樓加蓋 室內裝修許可證,2020-07-02 10:13,4,4,8,0.5,0.5
98,https://www.mobile01.com/topicdetail.php?f=454&t=6267746,台北買房,2020-12-24 10:09,4,11,15,0.26666666666666666,0.7333333333333333
99,https://www.mobile01.com/topicdetail.php?f=454&t=6260041,請益。建商承諾合建主建物一坪換一坪，公設，平面車位都不用再加錢。有可能嗎？,2020-12-14 13:09,7,9,16,0.4375,0.5625
100,https://www.mobile01.com/topicdetail.php?f=454&t=6251966,北投「維正里安」建案，已購戶交流,2020-12-03 17:14,4,5,9,0.4444444444444444,0.5555555555555556
101,https://www.mobile01.com/topicdetail.php?f=454&t=6267589,有信松廣場的已購戶嗎？,2020-12-23 23:35,2,0,2,1.0,0.0
102,https://www.mobile01.com/topicdetail.php?f=454&t=3301806,台北大同區新建案,2013-04-10 04:29,20,13,33,0.6060606060606061,0.3939393939393939
103,https://www.mobile01.com/topicdetail.php?f=454&t=6249136,未來想接公婆來北部，可以給我一點建議嗎,2020-11-30 13:36,13,9,22,0.5909090909090909,0.4090909090909091
104,https://www.mobile01.com/topicdetail.php?f=454&t=6265869,未來 公設比超過百分之20的建設 會被嫌惡?,2020-12-21 16:57,4,17,21,0.19047619047619047,0.8095238095238095
105,https://www.mobile01.com/topicdetail.php?f=454&t=6145949,永春站 東其建設預售THE ONE,2020-07-20 01:22,3,7,10,0.3,0.7
106,https://www.mobile01.com/topicdetail.php?f=454&t=6268013,有關森源建設,2020-12-24 16:41,0,1,1,0.0,1.0
107,https://www.mobile01.com/topicdetail.php?f=454&t=6267782,危老跟都更,2020-12-24 10:49,3,1,4,0.75,0.25
108,https://www.mobile01.com/topicdetail.php?f=454&t=4969993,有沒有人去看過文山區國揚建設的南方莊園？,2016-10-29 07:50,13,19,32,0.40625,0.59375
109,https://www.mobile01.com/topicdetail.php?f=454&t=6258621,有人看過睿泰川矅這個案子嗎？,2020-12-12 11:45,5,2,7,0.7142857142857143,0.2857142857142857
110,https://www.mobile01.com/topicdetail.php?f=454&t=5947281,請益南港建案Chloe,2019-11-10 14:53,3,4,7,0.42857142857142855,0.5714285714285714
111,https://www.mobile01.com/topicdetail.php?f=454&t=6198289,關於實價登錄的問題,2020-09-24 10:57,7,2,9,0.7777777777777778,0.2222222222222222
112,https://www.mobile01.com/topicdetail.php?f=454&t=6258077,想當天龍國人(內湖區),2020-12-11 14:44,5,6,11,0.45454545454545453,0.5454545454545454
113,https://www.mobile01.com/topicdetail.php?f=454&t=1569946,好床墊難尋  好床墊推薦請入內  (尊爵的床墊詢問),2010-05-24 13:44,12,22,34,0.35294117647058826,0.6470588235294118
114,https://www.mobile01.com/topicdetail.php?f=454&t=6263568,有沒有神人看過內湖碧湖公園旁的一個舊建案,2020-12-18 14:14,1,1,2,0.5,0.5
115,https://www.mobile01.com/topicdetail.php?f=454&t=6260751,親家JIA不知道要賣多少錢,2020-12-15 10:37,1,2,3,0.3333333333333333,0.6666666666666666
116,https://www.mobile01.com/topicdetail.php?f=454&t=6056969,"請問有大大看過信義區松德路巷內的""松德長虹""嗎?",2020-03-29 19:23,6,24,30,0.2,0.8
117,https://www.mobile01.com/topicdetail.php?f=454&t=5895311,有人去看過虹廷首苑嗎?(大同區),2019-09-09 22:24,2,1,3,0.6666666666666666,0.3333333333333333
118,https://www.mobile01.com/topicdetail.php?f=454&t=6261649,公設比,2020-12-16 11:23,6,8,14,0.42857142857142855,0.5714285714285714
119,https://www.mobile01.com/topicdetail.php?f=454&t=6172180,大同區築億丰盛,2020-08-22 10:50,4,4,8,0.5,0.5
120,https://www.mobile01.com/topicdetail.php?f=454&t=6080678,大台北投資買房新成屋,2020-04-29 11:57,3,6,9,0.3333333333333333,0.6666666666666666
121,https://www.mobile01.com/topicdetail.php?f=454&t=6246769,超雷公設~比乾掉的泳池還雷,2020-11-27 02:16,8,15,23,0.34782608695652173,0.6521739130434783
122,https://www.mobile01.com/topicdetail.php?f=454&t=6255935,打房了!!!準備跌了嗎???,2020-12-09 01:37,3,10,13,0.23076923076923078,0.7692307692307693
123,https://www.mobile01.com/topicdetail.php?f=454&t=6260461,打房!!會有第2波!!,2020-12-14 22:36,3,1,4,0.75,0.25
124,https://www.mobile01.com/topicdetail.php?f=454&t=4413967,北市買房的勵志故事,2015-06-09 11:39,13,11,24,0.5416666666666666,0.4583333333333333
125,https://www.mobile01.com/topicdetail.php?f=454&t=6106941,天母建案 雲邸 鐫月 天玉,2020-06-01 23:24,15,14,29,0.5172413793103449,0.4827586206896552
126,https://www.mobile01.com/topicdetail.php?f=454&t=6123733,[首購詢問] 口袋不夠深的三難,2020-06-21 18:23,13,18,31,0.41935483870967744,0.5806451612903226
127,https://www.mobile01.com/topicdetail.php?f=454&t=6252241,台灣房產泡沫化為何還沒破裂? 只因.......,2020-12-04 03:32,69,124,193,0.35751295336787564,0.6424870466321243
128,https://www.mobile01.com/topicdetail.php?f=454&t=6162369,中山區新建案「東騰界」,2020-08-10 20:56,9,8,17,0.5294117647058824,0.47058823529411764
129,https://www.mobile01.com/topicdetail.php?f=454&t=6197624,請問有人下訂北投區稻香路 「晴山學社區」了嗎？,2020-09-23 15:31,1,1,2,0.5,0.5
130,https://www.mobile01.com/topicdetail.php?f=454&t=5834565,北投區假日賞屋 稻香路上 晴山學,2019-07-01 18:50,12,18,30,0.4,0.6
131,https://www.mobile01.com/topicdetail.php?f=454&t=6256330,最近買了內湖的建案,2020-12-09 15:05,16,8,24,0.6666666666666666,0.3333333333333333
132,https://www.mobile01.com/topicdetail.php?f=454&t=6255778,大同區明倫社會住宅,2020-12-08 19:43,3,7,10,0.3,0.7
133,https://www.mobile01.com/topicdetail.php?f=454&t=6257535,台北市中正區 新成屋 璞園學豐 隨意看房 買不起也可以看房,2020-12-10 22:45,1,0,1,1.0,0.0
134,https://www.mobile01.com/topicdetail.php?f=454&t=6167910,士林新建案討論,2020-08-18 11:09,15,18,33,0.45454545454545453,0.5454545454545454
135,https://www.mobile01.com/topicdetail.php?f=454&t=6246258,住台北橋附近，買三重區還是大同區,2020-11-26 13:24,3,5,8,0.375,0.625
136,https://www.mobile01.com/topicdetail.php?f=454&t=6253697,請問現在是賣房的時機嗎,2020-12-06 04:17,3,16,19,0.15789473684210525,0.8421052631578947
137,https://www.mobile01.com/topicdetail.php?f=454&t=6252335,台北市民對於社會住宅想法,2020-12-04 09:43,8,17,25,0.32,0.68
138,https://www.mobile01.com/topicdetail.php?f=454&t=6253665,南港  東本木,2020-12-06 00:54,2,1,3,0.6666666666666666,0.3333333333333333
139,https://www.mobile01.com/topicdetail.php?f=454&t=2051112,趁奢侈稅及東湖九座高壓電塔未下地前 先卡位 大殺價 可獲利 !!!!,2011-03-11 14:22,12,15,27,0.4444444444444444,0.5555555555555556
140,https://www.mobile01.com/topicdetail.php?f=454&t=5625314,台北辛亥站聯開宅敦南捷境,2018-11-09 21:39,6,3,9,0.6666666666666666,0.3333333333333333
141,https://www.mobile01.com/topicdetail.php?f=454&t=6161802,中正區新建案-中正雋詠,2020-08-10 11:24,7,14,21,0.3333333333333333,0.6666666666666666
142,https://www.mobile01.com/topicdetail.php?f=454&t=6250586,有人知道漢口街重慶南路交叉的豐基建設的建案嗎？,2020-12-02 09:33,2,2,4,0.5,0.5
143,https://www.mobile01.com/topicdetail.php?f=454&t=4524349,有人可以分享自家窗外或是陽台不錯的VIEW嗎,2015-09-04 13:39,31,34,65,0.47692307692307695,0.5230769230769231
144,https://www.mobile01.com/topicdetail.php?f=454&t=5130201,瘋了嗎! 台北房價反彈回升兩成?!.....「中正國中學區宅房價反彈」!!,2017-04-24 16:42,13,11,24,0.5416666666666666,0.4583333333333333
145,https://www.mobile01.com/topicdetail.php?f=454&t=6196106,中山藝極看屋心得,2020-09-22 11:00,3,10,13,0.23076923076923078,0.7692307692307693
146,https://www.mobile01.com/topicdetail.php?f=454&t=2853073,住在台北市文山區的各位 來報到吧!,2012-07-22 18:05,91,135,226,0.4026548672566372,0.5973451327433629
147,https://www.mobile01.com/topicdetail.php?f=454&t=6250452,萬華川悅已購戶?,2020-12-02 00:48,1,0,1,1.0,0.0
148,https://www.mobile01.com/topicdetail.php?f=454&t=6240340,北投-璞真榮華,2020-11-19 13:27,4,4,8,0.5,0.5
149,https://www.mobile01.com/topicdetail.php?f=454&t=6249386,桃園就桃園~新北就新北~沾個邊就硬是要喊是台北.....,2020-11-30 19:46,2,3,5,0.4,0.6
150,https://www.mobile01.com/topicdetail.php?f=454&t=6241011,社區出價問題,2020-11-20 10:39,6,10,16,0.375,0.625
151,https://www.mobile01.com/topicdetail.php?f=454&t=5430006,大同區建案最近很多，看屋心得,2018-04-09 09:54,65,74,139,0.4676258992805755,0.5323741007194245
152,https://www.mobile01.com/topicdetail.php?f=454&t=6242032,中古屋看房難抉擇,2020-11-21 15:21,4,11,15,0.26666666666666666,0.7333333333333333
153,https://www.mobile01.com/topicdetail.php?f=454&t=6215237,"台北房價又漲了,萬華川悅一坪82萬,榮耀西門要90,景美玖原青要80 .............買不起了",2020-10-17 16:25,3,7,10,0.3,0.7
154,https://www.mobile01.com/topicdetail.php?f=454&t=4751268,中正區 太平洋之森 2016都更新建案,2016-03-28 11:34,12,21,33,0.36363636363636365,0.6363636363636364
155,https://www.mobile01.com/topicdetail.php?f=454&t=6247038,想找東湖國小周邊停車位,2020-11-27 12:46,2,0,2,1.0,0.0
156,https://www.mobile01.com/topicdetail.php?f=454&t=6246523,與建設公司要談危老重健公寓的案子，有什麼建議需要知道的呢？,2020-11-26 17:46,3,2,5,0.6,0.4
157,https://www.mobile01.com/topicdetail.php?f=454&t=6242870,臺北市東湖的林地可以做什麼？,2020-11-22 23:08,3,2,5,0.6,0.4
158,https://www.mobile01.com/topicdetail.php?f=454&t=5849038,東湖富貴莊園,2019-07-18 16:00,23,7,30,0.7666666666666667,0.23333333333333334
159,https://www.mobile01.com/topicdetail.php?f=454&t=6234289,大同區築億丰盛請益,2020-11-12 10:42,1,5,6,0.16666666666666666,0.8333333333333334
160,https://www.mobile01.com/topicdetail.php?f=454&t=6195807,內湖五期 V.S 南港經貿園區,2020-09-21 23:22,9,19,28,0.32142857142857145,0.6785714285714286
161,https://www.mobile01.com/topicdetail.php?f=454&t=4076123,天天見面的同事要跟我借戶口~如何拒絕不傷感情,2014-09-15 22:41,34,49,83,0.40963855421686746,0.5903614457831325
162,https://www.mobile01.com/topicdetail.php?f=454&t=6244596,南港區-玉成大賞,2020-11-24 21:48,0,2,2,0.0,1.0
163,https://www.mobile01.com/topicdetail.php?f=454&t=6032921,台北市退休宅的選擇,2020-02-27 08:25,29,37,66,0.4393939393939394,0.5606060606060606
164,https://www.mobile01.com/topicdetail.php?f=454&t=2900258,十年後 信義計畫區豪宅還是大安區景觀豪宅會勝利?,2012-08-20 19:33,19,50,69,0.2753623188405797,0.7246376811594203
165,https://www.mobile01.com/topicdetail.php?f=454&t=6241769,萬華川悅已購戶,2020-11-21 06:57,3,1,4,0.75,0.25
166,https://www.mobile01.com/topicdetail.php?f=454&t=6211802,館長怒!!政府放任建商 虛報灌水公設!!,2020-10-13 01:17,17,26,43,0.3953488372093023,0.6046511627906976
167,https://www.mobile01.com/topicdetail.php?f=454&t=1015761,永安捷運共構 vs. 永安時代,2009-04-14 13:39,11,10,21,0.5238095238095238,0.47619047619047616
168,https://www.mobile01.com/topicdetail.php?f=454&t=6212255,台灣如果改成實坪 會怎樣嗎?,2020-10-13 16:12,16,18,34,0.47058823529411764,0.5294117647058824
169,https://www.mobile01.com/topicdetail.php?f=454&t=6030435,有人看過麟光站宏築信義(SRC)立築開發的這個案子嗎?開價84以上,2020-02-24 00:07,57,52,109,0.5229357798165137,0.47706422018348627
